date,action,old_pos,new_pos,delta,price,forecast,equity
2001-01-05,OPEN_SHORT,0.0,-145.8649,-145.8649,82.01,-3.29,100000.0
2001-01-17,ADD,-145.8649,-196.838,-50.9731,84.72,-3.93,99605.01
2001-01-31,ADD,-196.838,-262.2486,-65.4106,86.98,-4.27,99159.29
2001-02-14,ADD,-262.2486,-346.6596,-84.411,83.84,-4.83,99985.05
2001-02-23,ADD,-346.6596,-427.1123,-80.4527,79.33,-5.7,101547.56
2001-03-08,ADD,-427.1123,-521.6934,-94.581,80.7,-6.93,100961.9
2001-03-12,REDUCE,-521.6934,-383.1762,138.5172,74.96,-6.1,103955.82
2001-03-16,ADD,-383.1762,-480.2772,-97.101,73.21,-7.24,104627.29
2001-03-22,ADD,-480.2772,-574.8193,-94.5422,70.73,-8.43,105816.53
2001-03-23,REDUCE,-574.8193,-464.4764,110.3429,72.87,-7.67,104587.12
2001-04-04,ADD,-464.4764,-545.6465,-81.1701,70.56,-8.97,105660.36
2001-04-05,REDUCE,-545.6465,-419.9864,125.6601,73.23,-7.92,104201.58
2001-04-16,ADD,-419.9864,-479.0527,-59.0663,74.86,-8.74,103519.86
2001-04-18,REDUCE,-479.0527,-368.5326,110.52,78.93,-7.62,101568.27
2001-04-26,ADD,-368.5326,-422.7043,-54.1717,78.75,-7.96,101633.96
2001-05-09,ADD,-422.7043,-488.232,-65.5277,79.98,-7.98,101114.64
2001-05-15,ADD,-488.232,-563.0165,-74.7845,80.19,-8.33,101012.1
2001-05-16,REDUCE,-563.0165,-486.1449,76.8716,82.08,-7.66,99947.69
2001-06-11,ADD,-486.1449,-578.8219,-92.6769,80.27,-7.12,100829.63
2001-06-19,ADD,-578.8219,-688.0977,-109.2759,77.74,-7.73,102290.0
2001-06-26,ADD,-688.0977,-789.1249,-101.0271,77.59,-8.3,102395.41
2001-07-12,REDUCE,-789.1249,-634.3705,154.7544,77.36,-7.53,102576.76
2001-07-30,ADD,-634.3705,-751.5003,-117.1298,77.14,-8.32,102714.43
2001-08-07,ADD,-751.5003,-875.6408,-124.1405,77.09,-8.86,102752.85
2001-08-14,ADD,-875.6408,-1010.3012,-134.6604,76.14,-9.58,103591.26
2001-08-24,REDUCE,-1010.3012,-836.2499,174.0514,75.98,-8.88,103752.51
2001-08-29,ADD,-836.2499,-935.784,-99.5342,73.76,-9.5,105610.21
2001-09-05,ADD,-935.784,-1070.1935,-134.4094,72.58,-10.37,106709.36
2001-09-06,REDUCE,-1070.1935,-956.6467,113.5468,70.71,-9.92,108711.0
2001-09-17,REDUCE,-956.6467,-620.5095,336.1371,66.58,-8.24,112662.08
2001-09-18,ADD,-620.5095,-702.5118,-82.0022,66.42,-8.78,112761.14
2001-09-20,ADD,-702.5118,-800.4786,-97.9669,63.01,-9.72,115155.84
2001-09-21,ADD,-800.4786,-912.6136,-112.135,62.33,-10.54,115700.01
2001-09-24,REDUCE,-912.6136,-663.5557,249.0579,64.52,-9.1,113700.18
2001-09-27,ADD,-663.5557,-743.8946,-80.3389,65.53,-10.09,113032.65
2001-10-08,ADD,-743.8946,-842.5761,-98.6814,68.26,-11.2,111002.12
2001-10-18,ADD,-842.5761,-955.9165,-113.3404,68.83,-11.95,110521.64
2001-10-31,ADD,-955.9165,-1068.5151,-112.5986,67.79,-12.52,111513.87
2001-11-01,REDUCE,-1068.5151,-898.4969,170.0182,69.53,-11.45,109658.48
2001-11-12,ADD,-898.4969,-986.4007,-87.9038,71.78,-11.81,107631.99
2001-11-13,REDUCE,-986.4007,-865.1063,121.2945,73.4,-10.95,106039.23
2001-11-21,ADD,-865.1063,-965.4259,-100.3196,73.07,-11.09,106321.98
2001-12-04,REDUCE,-965.4259,-863.9382,101.4877,73.87,-9.81,105548.74
2001-12-05,REDUCE,-863.9382,-770.7652,93.173,75.22,-9.21,104380.71
2001-12-28,ADD,-770.7652,-889.9643,-119.199,74.58,-8.78,104875.06
2002-01-03,REDUCE,-889.9643,-787.8601,102.1041,75.12,-8.04,104394.43
2002-01-25,ADD,-787.8601,-914.6474,-126.7873,73.01,-7.89,106061.0
2002-01-29,REDUCE,-914.6474,-653.2278,261.4196,70.9,-6.68,107983.99
2002-02-04,REDUCE,-653.2278,-559.4642,93.7636,70.63,-6.16,108164.58
2002-02-06,ADD,-559.4642,-659.968,-100.5037,69.89,-6.74,108578.23
2002-02-22,REDUCE,-659.968,-567.1555,92.8125,70.49,-6.38,108179.38
2002-03-04,REDUCE,-567.1555,-451.5873,115.5682,74.42,-5.6,105951.35
2002-04-03,ADD,-451.5873,-570.2134,-118.6261,72.95,-4.96,106615.06
2002-04-16,REDUCE,-570.2134,-409.9287,160.2848,72.99,-4.23,106593.0
2002-04-24,ADD,-409.9287,-521.8443,-111.9157,70.55,-4.85,107594.76
2002-05-03,ADD,-521.8443,-651.7284,-129.8841,69.37,-5.86,108210.51
2002-05-08,REDUCE,-651.7284,-396.0803,255.6481,70.29,-4.71,107609.61
2002-05-28,ADD,-396.0803,-491.6204,-95.5401,69.7,-5.43,107842.01
2002-05-31,ADD,-491.6204,-601.5409,-109.9204,69.13,-6.1,108120.98
2002-06-11,ADD,-601.5409,-711.9999,-110.4591,65.74,-7.14,110161.15
2002-06-14,ADD,-711.9999,-876.7823,-164.7824,65.38,-8.18,110418.25
2002-06-17,REDUCE,-876.7823,-658.8142,217.9681,67.14,-7.13,108880.52
2002-06-24,ADD,-658.8142,-777.5434,-118.7292,64.58,-8.09,110567.26
2002-07-01,ADD,-777.5434,-874.7943,-97.2509,62.78,-9.09,111960.89
2002-07-05,REDUCE,-874.7943,-613.0886,261.7057,64.26,-7.8,110670.32
2002-07-12,ADD,-613.0886,-749.267,-136.1784,59.43,-9.14,113629.69
2002-07-16,ADD,-749.267,-854.5923,-105.3253,58.6,-10.01,114255.08
2002-07-19,ADD,-854.5923,-958.6857,-104.0934,54.81,-10.99,117489.95
2002-07-22,ADD,-958.6857,-1051.3128,-92.6271,53.19,-11.65,119046.94
2002-07-23,ADD,-1051.3128,-1175.1075,-123.7948,51.73,-12.49,120577.49
2002-07-24,REDUCE,-1175.1075,-640.2766,534.8309,54.82,-9.29,116950.63
2002-07-29,REDUCE,-640.2766,-502.1473,138.1293,58.09,-8.62,114858.49
2002-08-01,ADD,-502.1473,-566.7021,-64.5548,57.45,-9.37,115180.13
2002-08-05,ADD,-566.7021,-659.411,-92.7089,54.2,-10.22,117017.21
2002-08-06,REDUCE,-659.411,-587.6101,71.8009,56.03,-9.66,115814.01
2002-08-08,REDUCE,-587.6101,-520.676,66.9342,58.85,-9.22,114156.28
2002-08-13,ADD,-520.676,-621.7651,-101.0892,57.57,-10.17,114823.34
2002-08-14,REDUCE,-621.7651,-541.58,80.1851,59.67,-9.46,113515.82
2002-08-26,ADD,-541.58,-622.8341,-81.2541,61.64,-9.97,112450.52
2002-08-29,ADD,-622.8341,-725.9495,-103.1153,59.62,-10.67,113707.91
2002-09-05,ADD,-725.9495,-807.5735,-81.624,57.45,-11.27,115286.18
